x_mm,y_mm,thickness_mm
5.7000,2.0000,0.0000
5.8000,2.0000,0.0000
5.9000,2.0000,0.0000
6.0000,2.0000,0.0000
6.1000,2.0000,0.0000
6.2000,2.0000,0.0000
6.3000,2.0000,0.0000
6.4000,2.0000,0.0861
6.5000,2.0000,0.0000
6.6000,2.0000,0.0000
6.7000,2.0000,0.0000
6.8000,2.0000,0.0000
6.9000,2.0000,0.0000
7.0000,2.0000,0.0000
7.1000,2.0000,0.0000
7.2000,2.0000,0.0861
7.3000,2.0000,0.0000
7.4000,2.0000,0.0000
7.5000,2.0000,0.0000
7.6000,2.0000,0.0000
7.7000,2.0000,0.0000
7.8000,2.0000,0.0000
7.9000,2.0000,0.0000
8.0000,2.0000,0.0000
8.1000,2.0000,0.0861
8.2000,2.0000,0.0000
8.3000,2.0000,0.0000
8.4000,2.0000,0.0000
8.5000,2.0000,0.0000
8.6000,2.0000,0.0000
8.7000,2.0000,0.0000
8.8000,2.0000,0.0000
8.9000,2.0000,0.0861
9.0000,2.0000,0.0000
9.1000,2.0000,0.0000
9.2000,2.0000,0.0000
9.3000,2.0000,0.0000
9.4000,2.0000,0.0861
9.5000,2.0000,0.0000
9.6000,2.0000,0.0000
9.7000,2.0000,0.0000
9.8000,2.0000,0.0000
9.9000,2.0000,0.0000
10.0000,2.0000,0.0000
10.1000,2.0000,0.0000
10.2000,2.0000,0.0000
10.3000,2.0000,0.0000
10.4000,2.0000,0.0000
10.5000,2.0000,0.0000
10.6000,2.0000,0.0000
10.7000,2.0000,0.0000
10.8000,2.0000,0.0861
10.9000,2.0000,0.0000
11.0000,2.0000,0.0000
11.1000,2.0000,0.0000
11.2000,2.0000,0.0000
11.3000,2.0000,0.0000
11.4000,2.0000,0.0000
11.5000,2.0000,0.0000
11.6000,2.0000,0.0000
11.7000,2.0000,0.0861
11.8000,2.0000,0.0000
11.9000,2.0000,0.0000
12.0000,2.0000,0.0000
12.1000,2.0000,0.0000
12.2000,2.0000,0.0000
12.3000,2.0000,0.0000
12.4000,2.0000,0.0861
12.5000,2.0000,0.0000
12.6000,2.0000,0.0000
12.7000,2.0000,0.0000
12.8000,2.0000,0.0000
12.9000,2.0000,0.0000
13.0000,2.0000,0.0861
13.1000,2.0000,0.0000
13.2000,2.0000,0.0000
13.3000,2.0000,0.0000
13.4000,2.0000,0.0861
13.5000,2.0000,0.0000
13.6000,2.0000,0.0000
13.7000,2.0000,0.0861
13.8000,2.0000,0.0000
13.9000,2.0000,0.0000
14.0000,2.0000,0.0000
14.1000,2.0000,0.0000
14.2000,2.0000,0.0000
14.3000,2.0000,0.0000
14.4000,2.0000,0.0000
14.5000,2.0000,0.0000
14.6000,2.0000,0.0000
14.7000,2.0000,0.0000
14.8000,2.0000,0.0000
14.9000,2.0000,0.0000
15.0000,2.0000,0.0000
15.1000,2.0000,0.0000
15.2000,2.0000,0.0000
15.3000,2.0000,0.0000
15.4000,2.0000,0.0000
15.5000,2.0000,0.0000
15.6000,2.0000,0.0000
15.7000,2.0000,0.0000
15.8000,2.0000,0.0000
15.9000,2.0000,0.0000
16.0000,2.0000,0.0861
16.1000,2.0000,0.0000
16.2000,2.0000,0.0861
16.3000,2.0000,0.0000
16.4000,2.0000,0.0861
16.5000,2.0000,0.0000
16.6000,2.0000,0.0000
16.7000,2.0000,0.0000
16.8000,2.0000,0.0000
16.9000,2.0000,0.0000
17.0000,2.0000,0.0000
17.1000,2.0000,0.0000
17.2000,2.0000,0.0000
17.3000,2.0000,0.0861
17.4000,2.0000,0.0000
17.5000,2.0000,0.0000
17.6000,2.0000,0.0000
17.7000,2.0000,0.0000
17.8000,2.0000,0.0000
17.9000,2.0000,0.0000
18.0000,2.0000,0.0000
18.1000,2.0000,0.0000
18.2000,2.0000,0.0000
18.3000,2.0000,0.0000
18.4000,2.0000,0.0000
18.5000,2.0000,0.0000
18.6000,2.0000,0.0000
18.7000,2.0000,0.0000
18.8000,2.0000,0.0000
